name,album,release_date,popularity,url,id
Tere Bina,Guru (Original Motion Picture Soundtrack),2006-09-11,80,https://open.spotify.com/track/4FeczSomVWVyU4FW7xDeAI,4FeczSomVWVyU4FW7xDeAI
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman All Time Favourites,2022-06-16,52,https://open.spotify.com/track/7aYW9bfmULF9q2hwe2HtpU,7aYW9bfmULF9q2hwe2HtpU
"Raanjhanaa (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,74,https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b,5OMUXgfXsSukZ0zxelpC3b
Enna Sona,OK Jaanu (Original Motion Picture Soundtrack),2017-01-04,72,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO,6bdpj89aYEBjhpsenXAsmO
"Tum Tak (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,73,https://open.spotify.com/track/1wnozUBSe7OMpmZiTPJC5j,1wnozUBSe7OMpmZiTPJC5j
Muththa Mazhai (Reprise),Thug Life (Tamil),2025-06-04,71,https://open.spotify.com/track/0nrJ7jsUFR0pDHV6NvKJje,0nrJ7jsUFR0pDHV6NvKJje
Nee Singam Dhan,Pathu Thala (Original Motion Picture Soundtrack),2023-03-18,71,https://open.spotify.com/track/0vua5LbAth2HzKqpbnVRZk,0vua5LbAth2HzKqpbnVRZk
Maahi Ve,Highway,2014-01-22,71,https://open.spotify.com/track/1sbW5E7w8tnqpYk0Frx8QG,1sbW5E7w8tnqpYk0Frx8QG
"Jinguchaa (From ""Thug Life"") (Tamil)","Jinguchaa (From ""Thug Life"") (Tamil)",2025-04-18,69,https://open.spotify.com/track/3hZg8oiTOWFZWaFudFi610,3hZg8oiTOWFZWaFudFi610
Kun Faya Kun,Rockstar,2011-10-01,70,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6,7F8RNvTQlvbeBLeenycvN6
