playlist,track_name,artist,album,release_date,popularity,track_id
Bollywood Top 50,Tum Se Hi,"Pritam, Mohit Chauhan, Irshad Kamil",Jab We Met,2007-09-21,76,7eQl3Yqv35ioqUfveKHitE
Bollywood Top 50,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh, Sachet-Parampara","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]",2019-06-03,52,6aPMWbbdhDhiJHlknZb9Yx
Bollywood Top 50,Pal Pal,"Afusic, AliSoomroMusic",Pal Pal,2025-02-17,72,4LMlVCXHJtCE9abhmn0mYo
Bollywood Top 50,Khamoshiyan,"Jeet Gannguli, Arijit Singh, Rashmi Virag",Khamoshiyan (Original Motion Picture Soundtrack),2014-12-29,70,6zCQF5tu7HVwU9shhKqiuF
Bollywood Top 50,"Iktara (From ""Wake Up Sid"")","Amit Trivedi, Kavita Seth, Amitabh Bhattacharya",Perfect 10: Love Story,2012-01-20,33,0RJ7HhnQxJEOpGC5Htmez4
Bollywood Top 50,Tu Jaane Na,"Atif Aslam, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),2009-11-06,69,4iFPsNzNV7V9KJgcOX7TEO
Bollywood Top 50,Raabta,"Pritam, Arijit Singh",Agent Vinod,2012-02-24,74,6FjbAnaPRPwiP3sciEYctO
Bollywood Top 50,Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani,2010-08-19,68,4r8JqkhpTb5tzSKKHnVJIJ
Bollywood Top 50,Isq Risk,"Sohail Sen, Rahat Fateh Ali Khan, Irshad Kamil",Mere Brother Ki Dulhan,2011-09-08,65,0rxEPf4Y6uBmV3hkrV340a
Bollywood Top 50,"Sanam Re (From ""Sanam Re"")","Mithoon, Arijit Singh",Love Forever With Arijit Singh,2017-06-07,59,3XWBGyt7m2rZAjEj0awWnw
Bollywood Top 50,Judaai,"Sachin-Jigar, Rekha Bhardwaj, Arijit Singh, Priya Saraiya",Badlapur (Original Motion Picture Soundtrack),2014-12-09,66,2MsGTWvf7dcjKbI0WTq6Pz
Bollywood Top 50,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,2015-10-16,71,3hkC9EHFZNQPXrtl8WPHnX
Bollywood Top 50,Aye Khuda,Salim Merchant,Paathshaala,2010-03-15,58,1vgVsR5rkXGP4NmUcoroJH
Bollywood Top 50,Ilahi,"Pritam, Arijit Singh",Yeh Jawaani Hai Deewani,2013-03-30,72,5cgKosPPj5Cs9a2JQufUc1
Bollywood Top 50,Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,2008-05-21,69,3APdIdF8H0jsxSuGOqXedS
Bollywood Top 50,Suno- Na Sangemarmar,Arijit Singh,Youngistaan,2014-03-05,0,2ESscisnKdryn50fPeHd7O
Bollywood Top 50,Jab Se Tere Naina,"Monty Sharma, Shaan",Saawariya (Original Motion Picture Soundtrack),2007-09-14,69,0gRNu9dVzi5aC87AI1empZ
Bollywood Top 50,Baarish,"Mohammed Irfan, Gajendra Verma, Mithoon",Yaariyan,2013-12-09,66,6ABHr8kYCws5z6gC9Lwith
Bollywood Top 50,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),2023-07-25,75,5PUXKVVVQ74C3gl5vKy9Li
Bollywood Top 50,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Varun Jain, Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",2023-05-22,63,46hzNOUOAlivuCZZ0wE3zi
Bollywood Top 50,Sawan Aaya Hai,"Tony Kakkar, Arijit Singh",Creature 3D,2014-08-16,62,2znIV62IxtbY9gSEPdIAho
Bollywood Top 50,Subhanallah,"Pritam, Sreeram, Shilpa Rao",Yeh Jawaani Hai Deewani,2013-03-30,74,0GQngE2rOYvlKwEQjTAsP8
Bollywood Top 50,"Jeena Jeena (From ""Badlapur"")",Atif Aslam,"Jeena Jeena (From ""Badlapur"")",2015-01-15,0,6h09y5UH6sDRERJALlaJPi
Bollywood Top 50,"Hawayein (From ""Jab Harry Met Sejal"")","Pritam, Arijit Singh","Hawayein (From ""Jab Harry Met Sejal"")",2017-07-26,64,6871FKHumiy1Wfr6vF7Xxt
Bollywood Top 50,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")","Pritam, KK",Evergreen Hits Of K.K.,2022-06-01,57,7fW9J3EpVWVN1ouv0slAs0
Bollywood Top 50,Challa,"A.R. Rahman, Rabbi, Gulzar",Jab Tak Hai Jaan,2012-10-09,63,6wXPV6dNRAhFavrRaCdMXT
Bollywood Top 50,Kalank (Title Track),Arijit Singh,Kalank - Title Track (Kalank),2019-03-30,0,7G5wpuR61ABrT7R1snos7C
Bollywood Top 50,Dil Mein Ho Tum,Armaan Malik,Why Cheat India,2019-01-12,44,6P10EoBs8D9L7kjwgNkwFN
Bollywood Top 50,Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,72,1UWacd8x8tPPwmrPB1MoBI
Bollywood Top 50,"Bulleya (From ""Ae Dil Hai Mushkil"")","Pritam, Amit Mishra, Shilpa Rao","Bulleya (From ""Ae Dil Hai Mushkil"")",2016-10-26,52,0edt0Ar7ewLkMqy0jUtSWm
Bollywood Top 50,Khairiyat,"Pritam, Arijit Singh",Chhichhore,2019-08-31,70,5O932cZmzOZGOGZz9RHx20
Bollywood Top 50,Humsafar,"Akhil Sachdeva, Mansheel Gujral",Badrinath Ki Dulhania,2017-02-14,68,6TFESXMfJJWwccviaxGAMa
Bollywood Top 50,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi, Arijit Singh, Asees Kaur","Bolna (From ""Kapoor & Sons (Since 1921)"")",2016-03-04,66,3GrCQPpKqKzOcKfMAoqn82
Bollywood Top 50,"Galliyan (Unplugged) [From ""Ek Villain""]","Shraddha Kapoor, Ankit Tiwari",Best Of Shraddha Kapoor,2017-03-03,42,5hhsS7RcsT09Gx1l1ocPqy
Bollywood Top 50,Duaa,"Vishal-Shekhar, Nandini Srikar, Arijit Singh",Shanghai,2012-05-04,60,606dT4oMKQc9uDUv7ADy97
Bollywood Top 50,Tu Hai Ki Nahi,"Ankit Tiwari, Abhendra Kumar Upadhyay",Roy,2015-01-09,67,4brSaQIT3bnnE41D042fgL
Bollywood Top 50,,,,0000,0,16BGhwv8wYXkv2mMJF7ryv
Bollywood Top 50,,,,0000,0,3hp6JfJIxkv3sl7E6p7DQj
Bollywood Top 50,Manali Trance,"Yo Yo Honey Singh, Neha Kakkar",The Shaukeens,2018-08-07,0,4JebLCO8mRNgLCb9iNQwNW
Bollywood Top 50,Naina,Arijit Singh,Dangal,2016-12-14,0,6sKPX8s8UsjGYP6Wt1uwhZ
Bollywood Top 50,O Saiyyan,"Ajay-Atul, Roop Kumar Rathod",Agneepath (Original Motion Picture Soundtrack),2011-12-16,53,1sL8hnnZaB2Xzm1J66y4Tt
Bollywood Top 50,"Ya Rabba (From ""Salaam-E-Ishq"")",Kailash Kher,Best Of Kailash Kher,2017-07-06,57,7KKRPM4fUsfCkJnd1zPhHf
Bollywood Top 50,Main Hoon Hero Tera (Sad Version),"Armaan Malik, Amaal Mallik",Main Hoon Hero Tera (Sad Version),2015-09-14,40,7AILi7PCizdNrnOcbAkDmo
Bollywood Top 50,Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar, Kumaar",Kabir Singh,2019-06-14,70,3oWxFNsXstcancCR1wODR4
Bollywood Top 50,Zinda,Amit Trivedi,Lootera,2013-05-29,53,1gEHNfJRSXpDVaEicwRRfe
Bollywood Top 50,Medley: Kehna Galat Galat / Halka Halka Suroor,"Madhur Sharma, Nusrat Fateh Ali Khan",Medley: Kehna Galat Galat / Halka Halka Suroor,2021-12-01,0,78CHk5OPRMsm30e5q9Jm8h
Bollywood Top 50,Ke Bin Tere,Mithoon,Aggar: Passion Betrayal Terror,2007-07-30,36,2o4xleLpqueckpCnHbVFvU
Bollywood Top 50,"Tera Deedar Hua (From ""Jannat 2"")","Pritam, Anupam Amod, Rahat Fateh Ali Khan",Best of Me Pritam,2013-02-01,35,36rdBb7kFXXYlrkIDT2A00
Bollywood Top 50,Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa,2006-02-24,75,2iNqdCchlUZEgjJbQyZf8T
Bollywood Top 50,Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots,2009-11-09,0,19SF5nItZDNoGKFq6uoPNB
Bollywood Top 50,,,,0000,0,2EM2vuV1jMHPQZ9SUJSB39
Bollywood Top 50,Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2,2013-04-06,72,5PvwPy5eRO8BPwpRzCHK3D
Bollywood Top 50,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",Samjhawan,2014-06-19,71,0rk2X5TAhraBC5aCIXK2Rq
Bollywood Top 50,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,2018-09-14,69,5G7pZ8G8NFvS1MQ9H4L7dC
